month,brier
1.0,0.0006936340148311711
2.0,0.00197406741815561
3.0,0.004890595195670966
4.0,0.008362753706011167
5.0,0.012230244484803298
6.0,0.0171813095317689
7.0,0.022468665334643742
8.0,0.028334499637310634
9.0,0.0340967549717898
10.0,0.04015083712120951
11.0,0.04617679838791856
12.0,0.05282535464019131
13.0,0.05921170975533653
14.0,0.06557763591417472
15.0,0.07132571491223218
16.0,0.0771973619538239
17.0,0.08333952377916909
18.0,0.08905486707982178
19.0,0.09476337632260948
20.0,0.10001139693570707
21.0,0.10549200273960753
22.0,0.10993496606213099
23.0,0.11485092802354177
24.0,0.11975342952403625
25.0,0.12462422924623344
26.0,0.12911702833809718
27.0,0.13326691581116315
28.0,0.1370453767160699
29.0,0.14122191879212692
30.0,0.14484289540199902
31.0,0.14862066104823562
32.0,0.1523793126362347
33.0,0.15532519660418984
34.0,0.15910230486574267
35.0,0.16231185932819184
36.0,0.16578032209440152
37.0,0.1813930969050389
38.0,0.19129421080495915
39.0,0.19540097750040072
40.0,0.19984719427488898
41.0,0.20367271803716902
42.0,0.20741708748526225
43.0,0.21113816319932585
44.0,0.21376899120467838
45.0,0.2180471033796905
46.0,0.2211014838554489
47.0,0.22386899263623006
48.0,0.22904006247170225
49.0,0.23081075541683863
50.0,0.23310047106057272
51.0,0.236290796920312
52.0,0.23957233594972124
53.0,0.2449062403395007
54.0,0.24932822312567507
55.0,0.24972209625110264
56.0,0.24805516996442187
57.0,0.25047720280527147
58.0,0.2534893843717808
59.0,0.25583266867911314
60.0,0.2585522487145375
