month,brier
1.0,0.0007092971306358524
2.0,0.0020245678887479053
3.0,0.004963310872052511
4.0,0.008445853184559872
5.0,0.012314939779747255
6.0,0.017248733240745735
7.0,0.02251535098558543
8.0,0.02837040346241396
9.0,0.034152112599502356
10.0,0.04023109808587337
11.0,0.04631809294642143
12.0,0.053095643341549176
13.0,0.0596300094753255
14.0,0.06618131377204065
15.0,0.07210952631994288
16.0,0.07817977779138058
17.0,0.08456616867496457
18.0,0.09064158487099086
19.0,0.09670746901314307
20.0,0.10223737843427734
21.0,0.10803343525494821
22.0,0.11275291937516485
23.0,0.11804537173633355
24.0,0.1233111501199119
25.0,0.12893561166992368
26.0,0.13417346102480526
27.0,0.13889613358038766
28.0,0.14342066901740816
29.0,0.14852012514630591
30.0,0.1528795986188122
31.0,0.15738065093502984
32.0,0.162039400272239
33.0,0.1655990340061553
34.0,0.170092078874776
35.0,0.173678393201321
36.0,0.17750405121314783
37.0,0.18901006357426414
38.0,0.19712161627769972
39.0,0.20251046374825418
40.0,0.20770702235222346
41.0,0.2117555513828983
42.0,0.2160300545817391
43.0,0.22013692322978215
44.0,0.2239677621575302
45.0,0.2276988364094704
46.0,0.23112355075410862
47.0,0.23503305247843942
48.0,0.23908643786697623
49.0,0.24227470475712237
50.0,0.24516253069264693
51.0,0.24860852675062403
52.0,0.25380343848342635
53.0,0.2591293582986602
54.0,0.26432726535869167
55.0,0.26659998155455733
56.0,0.2694067725563743
57.0,0.27398845290375284
58.0,0.27556624669757535
59.0,0.27995920645641553
60.0,0.2823639494883668
