bin,n,predicted_pd,observed_pd
0,67428,0.007658414484774677,0.00952713553580864
1,67427,0.01475773289299574,0.017666857986576745
2,67429,0.021538735769049206,0.026326097637787038
3,67425,0.02818958383336702,0.033100336658880014
4,67427,0.03501140121828294,0.04172890900811921
5,67429,0.04307527461514642,0.05175273515731715
6,67426,0.052627581645433026,0.0617633389689205
7,67426,0.06459471564713976,0.07468283996287262
8,67427,0.08320683030766605,0.09768500217057285
9,67428,0.1320487442731631,0.14986108798074482
