bin,n,predicted_pd,observed_pd
0,67428,0.04220754952452517,0.07097973636163979
1,67427,0.05597485857450105,0.09607062213293416
2,67427,0.06845597995002277,0.1386402129175287
3,67427,0.08102255455050016,0.1582389034661883
4,67427,0.09471910556205576,0.18614043944069836
5,67427,0.1102460148727487,0.22250652881932398
6,67427,0.13000998934342403,0.2509167127807569
7,67427,0.1516428811466608,0.2761191149975344
8,67427,0.19239405026732606,0.33302939491147576
9,67428,0.30059435812175367,0.41465112148469296
