bin,n,predicted_pd,observed_pd
0,67429,0.014825509481091037,0.01006469642816965
1,67426,0.02052587979528617,0.01861051642544098
2,67427,0.027538376853787346,0.025672468262761372
3,67428,0.03482902647938785,0.034881981271616236
4,67428,0.04255508608705471,0.042474586232916445
5,67425,0.05254682572806461,0.052069224347600196
6,67427,0.06438665653655168,0.06276813980054563
7,67428,0.0799081795876254,0.07746902098063735
8,67426,0.10287661444475009,0.09734864223215145
9,67428,0.15593763646106318,0.15225838171574402
