month,brier
1.0,0.0006920998460876541
2.0,0.0019708608253248042
3.0,0.004897493568456163
4.0,0.00838453774286699
5.0,0.012273123248548566
6.0,0.017260061657888567
7.0,0.022579213627999608
8.0,0.028498118017359325
9.0,0.034317349786844316
10.0,0.04041991288454188
11.0,0.04649560263191794
12.0,0.05325587457120347
13.0,0.059710668618104895
14.0,0.0661658566862272
15.0,0.0719527368227446
16.0,0.07786622636970306
17.0,0.08404211533004831
18.0,0.08987346444944978
19.0,0.09568541618986288
20.0,0.10096830912781715
21.0,0.1064720067910976
22.0,0.11094433150759804
23.0,0.11592429510555978
24.0,0.12082811264186488
25.0,0.12578039558735818
26.0,0.13035874886764598
27.0,0.13449002930099385
28.0,0.13832065446043018
29.0,0.14260066108222696
30.0,0.1462493519761825
31.0,0.1500307085723643
32.0,0.15381356244106556
33.0,0.1567895333238354
34.0,0.16051588284155477
35.0,0.16368681695088153
36.0,0.16702312097084993
37.0,0.18150410406446332
38.0,0.1913539864601385
39.0,0.19598080757721703
40.0,0.20062836202178386
41.0,0.20429859642661682
42.0,0.20795631853163016
43.0,0.21152153209776872
44.0,0.21414147321947716
45.0,0.21813441819094373
46.0,0.22109165522816482
47.0,0.22384563874911867
48.0,0.2286958710805443
49.0,0.2304766603550752
50.0,0.23265439800382703
51.0,0.23586268435144622
52.0,0.23935453357060046
53.0,0.24464609621323752
54.0,0.2490516457252856
55.0,0.2495223053889555
56.0,0.2483290240859048
57.0,0.2515505854409565
58.0,0.25431635664655816
59.0,0.257196044983147
60.0,0.2591099047650923
