model,horizon_m,auc_with_int_rate_grade,auc_without_int_rate_grade,delta
XGBoost (independent horizons),12,0.7107809466576988,0.6119511532355645,0.09882979342213427
XGBoost (independent horizons),24,0.70819136274764,0.6142754778808011,0.093915884866839
XGBoost (independent horizons),36,0.7113703424675379,0.6204792295613983,0.0908911129061396
Monotone-architecture NN,12,0.7037917861801373,0.6068181723616562,0.09697361381848102
Monotone-architecture NN,24,0.6919960192064568,0.6044236476722153,0.08757237153424147
Monotone-architecture NN,36,0.6871162050109232,0.6067640167575168,0.0803521882534064
