epoch,train_total,val_total,val_monitor,steps,seconds,train_data,val_data,train_penalty,val_penalty
1,1.4687024878961068,1.2386908747355143,1.2386908747355143,33,5.4247753620147705,1.4687024878961068,1.2386908747355143,7.036435157993361e-12,0.0
2,1.0936404173603764,0.9251942222913107,0.9251942222913107,66,10.591170072555542,1.0936404173603764,0.9251942222913107,0.0,0.0
3,0.8852600143609224,0.8219687974611918,0.8219687974611918,99,16.482857704162598,0.8852600143609224,0.8219687974611918,0.0,0.0
4,0.8263197076479594,0.7902701473236085,0.7902701473236085,132,22.84183979034424,0.8263197076479594,0.7902701473236085,0.0,0.0
5,0.8052297598450272,0.7786649097442627,0.7786649097442627,165,28.943329572677612,0.8052297598450272,0.7786649097442627,0.0,0.0
6,0.7977538877063327,0.7746506085077921,0.7746506085077921,198,35.624996185302734,0.7977538877063327,0.7746506085077921,0.0,0.0
7,0.7952412390991493,0.772971355787913,0.772971355787913,231,40.85501766204834,0.7952412390991493,0.772971355787913,0.0,0.0
8,0.7939377267802203,0.7717708769480387,0.7717708769480387,264,46.26051688194275,0.7939377267802203,0.7717708769480387,0.0,0.0
9,0.792955785924417,0.7709377393722534,0.7709377393722534,297,51.308470726013184,0.792955785924417,0.7709377393722534,0.0,0.0
10,0.79205427014033,0.7698923392295838,0.7698923392295838,330,56.37745237350464,0.79205427014033,0.7698923392295838,0.0,0.0
11,0.7909233337896842,0.7689383021672567,0.7689383021672567,363,61.56778073310852,0.7909233337896842,0.7689383021672567,0.0,0.0
12,0.7898934757162024,0.7678063815434774,0.7678063815434774,396,67.09446120262146,0.7898934757162024,0.7678063815434774,0.0,0.0
13,0.7883291075317947,0.7660600246747334,0.7660600246747334,429,73.66058254241943,0.7883291075317947,0.7660600246747334,0.0,0.0
14,0.7865328999695954,0.7644485617001852,0.7644485617001852,462,80.26905345916748,0.7865328999695954,0.7644485617001852,0.0,0.0
15,0.7841965595633895,0.7615741943041484,0.7615741943041484,495,86.59825277328491,0.7841965595633895,0.7615741943041484,0.0,0.0
16,0.7811626376964428,0.7582411907513936,0.7582411907513936,528,92.56246089935303,0.7811626376964428,0.7582411907513936,0.0,0.0
17,0.7776362077571728,0.7545156200408936,0.7545156200408936,561,98.4310040473938,0.7776362077571728,0.7545156200408936,0.0,0.0
18,0.7735456200811598,0.7506434743881225,0.7506434743881225,594,104.74530100822449,0.7735456200811598,0.7506434743881225,0.0,0.0
19,0.7692272702040496,0.7464112036069234,0.7464112036069234,627,110.49934649467468,0.7692272702040496,0.7464112036069234,0.0,0.0
20,0.7647040348688762,0.7423864297231039,0.7423864297231039,660,116.20114660263062,0.7647040348688762,0.7423864297231039,0.0,0.0
