bin,n,predicted_pd,observed_pd
0,67428,0.03595226469892486,0.03208426696349709
1,67427,0.05403468114970565,0.05602459698118034
2,67427,0.07719555679609116,0.0791137529430781
3,67427,0.09854922922744268,0.09967603420896776
4,67427,0.12076171940167038,0.11918625244026637
5,67427,0.14515136880533988,0.1407968245585116
6,67427,0.17119525737114363,0.16578802670473125
7,67427,0.20298658063482672,0.19380806549470786
8,67427,0.2480789002624648,0.23508628940484855
9,67428,0.3488279827554511,0.32550846498133534
