month,brier
1.0,0.0007087994650882049
2.0,0.002024350520630955
3.0,0.004958736171802541
4.0,0.008439225596951982
5.0,0.012304559954219035
6.0,0.017233423030168015
7.0,0.022493084813640117
8.0,0.02833927679903815
9.0,0.034097325545833786
10.0,0.04015109590094249
11.0,0.04619644891797921
12.0,0.052937114975319055
13.0,0.05942682278439427
14.0,0.06594628656924452
15.0,0.0718109576191019
16.0,0.0778276863323896
17.0,0.08417081837675171
18.0,0.09019493991781083
19.0,0.09622825797046386
20.0,0.1017060225706673
21.0,0.1074301945173834
22.0,0.11209741472639669
23.0,0.11730309604098255
24.0,0.12246724568859885
25.0,0.12798163997732276
26.0,0.13310572558945472
27.0,0.13774831949777228
28.0,0.14218767669859614
29.0,0.14715130354419395
30.0,0.15140680981483884
31.0,0.1558096903239523
32.0,0.1603079063414197
33.0,0.16375581315988488
34.0,0.16811995561709525
35.0,0.1716212699144475
36.0,0.17540605754502903
37.0,0.18705273745848966
38.0,0.19522214689722897
39.0,0.20025526845730043
40.0,0.2051009853703284
41.0,0.20877536482186243
42.0,0.2128433900674843
43.0,0.2167075616319329
44.0,0.22031331801836462
45.0,0.22404033677019727
46.0,0.22723632094445056
47.0,0.23098407415461417
48.0,0.23472363850322026
49.0,0.2377171082419424
50.0,0.24046331431598977
51.0,0.2437835519787556
52.0,0.24853552167872375
53.0,0.2532688296460217
54.0,0.25807621468317316
55.0,0.26012019649904117
56.0,0.26235632345017973
57.0,0.2662573298117863
58.0,0.26791153550589397
59.0,0.2715636914063615
60.0,0.27367490704750785
