bin,n,predicted_pd,observed_pd
0,67430,0.00819561780869174,0.009288889369422626
1,67425,0.015355537761614682,0.017406600082799928
2,67427,0.022436320145236555,0.02518538709632967
3,67427,0.028900317860436054,0.03356364560004743
4,67427,0.03541555800353701,0.043433116392417426
5,67427,0.043464686831785566,0.0498644166906651
6,67428,0.05329694169522491,0.06149471613474333
7,67426,0.06502601200494756,0.07481286570535495
8,67427,0.08302326586273116,0.0968824988534146
9,67428,0.13075587521787002,0.1523474101272605
