bin,n,predicted_pd,observed_pd
0,67428,0.017580914200006407,0.027405087716109944
1,67427,0.034786304130988696,0.05516008579284937
2,67427,0.048998426519970675,0.07528827828902684
3,67427,0.062101258231352874,0.09522929363684274
4,67427,0.07724228237847325,0.1158285998966807
5,67427,0.09462936545849689,0.1368365714746992
6,67427,0.11316034153298526,0.16111630291237888
7,67427,0.13580427729081201,0.18685506690484832
8,67428,0.16644660906820116,0.22628300122782463
9,67427,0.2417281236824579,0.31356277303937197
