month,brier
1.0,0.0007090975186274044
2.0,0.0020239261718378657
3.0,0.004961949103535469
4.0,0.008445541600275887
5.0,0.012316614709079453
6.0,0.017253880139175334
7.0,0.02252569421623453
8.0,0.028389831014950684
9.0,0.03418032097041752
10.0,0.04026659564832991
11.0,0.046364222981104014
12.0,0.05315735847418303
13.0,0.05970361484414326
14.0,0.06627120380620306
15.0,0.07221874536556154
16.0,0.07831028562512168
17.0,0.0847131510897304
18.0,0.09079992441168357
19.0,0.09689382763494721
20.0,0.10245570512484788
21.0,0.1082814710661136
22.0,0.11302333607561335
23.0,0.11833465942241053
24.0,0.12360341338732932
25.0,0.12924208145766686
26.0,0.1345103420995216
27.0,0.13926428386113554
28.0,0.14379900000854928
29.0,0.14891356509607623
30.0,0.15329117634037834
31.0,0.1578264281729068
32.0,0.1624895275464778
33.0,0.16606818067380988
34.0,0.17055540396198962
35.0,0.17415940679616723
36.0,0.17798958518515853
37.0,0.18974956397158302
38.0,0.19784658535300992
39.0,0.20324362038152835
40.0,0.20842351302812342
41.0,0.21252588621691992
42.0,0.21685461288020735
43.0,0.221063114238653
44.0,0.2249405534576461
45.0,0.22878280369402693
46.0,0.2321270404012758
47.0,0.23594350068197298
48.0,0.24005713310009164
49.0,0.2431468682343386
50.0,0.2460458682210209
51.0,0.24961995338581702
52.0,0.2549046790482738
53.0,0.26068827930347294
54.0,0.26607927818363636
55.0,0.2682244979540614
56.0,0.27081649734404467
57.0,0.2753670843332814
58.0,0.2769350718687596
59.0,0.2811793895420705
60.0,0.2832587670635504
