bin,n,predicted_pd,observed_pd
0,67428,0.014821814234603114,0.01169342470405943
1,67427,0.019754627282885753,0.017722628960163855
2,67427,0.02410053284431358,0.027170877826062534
3,67427,0.029121294217473743,0.03482613938128354
4,67427,0.034103604699358844,0.04122744176957016
5,67427,0.03989281031922627,0.05251879891790723
6,67427,0.047991959950549584,0.06354574431116944
7,67427,0.057823610453992466,0.07523723692115236
8,67427,0.07740330182818253,0.0987277000029525
9,67428,0.13649819291900211,0.148292437706939
