bin,n,predicted_pd,observed_pd
0,67428,0.0759376607807636,0.0357363296246902
1,67427,0.0908012336428242,0.05415377056265369
2,67427,0.10245354749747498,0.08292099522843066
3,67427,0.11453686252840344,0.09897418265977431
4,67427,0.12680165226138745,0.12090767214604836
5,67427,0.1392472097667489,0.14404524581756695
6,67427,0.1548419235504303,0.16471797619896467
7,67427,0.17282343598152536,0.19327297755461093
8,67427,0.20604204327427625,0.2337211061168024
9,67428,0.28967089647089467,0.31702609801146386
