bin,n,predicted_pd,observed_pd
0,67428,0.11819926499499757,0.06216235796246361
1,67427,0.14068805553994373,0.09709512704765633
2,67427,0.15816682206962238,0.1349621681728712
3,67427,0.17614485200105395,0.1616059556982805
4,67427,0.19425011730698072,0.18911290460513097
5,67427,0.21246195347665164,0.22464297958160373
6,67427,0.23506658322090968,0.2557519903420876
7,67427,0.26081413180747987,0.2836852946553393
8,67427,0.3074847298950859,0.33724744227405756
9,67428,0.4181657278723353,0.43025172956462066
