bin,n,predicted_pd,observed_pd
0,67428,0.04197867976135508,0.03353567133947355
1,67427,0.05814925743351223,0.05514463259284552
2,67427,0.07713163188346538,0.07863553085957486
3,67427,0.09589537547095656,0.10072626082510083
4,67427,0.11494557015108423,0.11811500687309562
5,67427,0.13856091124270273,0.14271304763167014
6,67427,0.1639708486010957,0.16767846000611508
7,67427,0.19558990700028822,0.19391792766533877
8,67427,0.24012079101007186,0.23528615127608155
9,67428,0.32853462105783665,0.3234415081721008
