arm,auc_12m,auc_24m,auc_36m,c_harrell,c_uno,ibs_1_60m,pct_points_violating,pct_borrowers_violating,max_survival_increase,pct_borrowers_any_PD_inversion,n_train,n_test
Logistic (independent horizons),0.701238387209364,0.6910986641833848,0.6875884363440319,0.6803643502497185,0.6419295820645469,0.15011423493929948,0.0,0.0,0.0,0.04612381946751459,1573299,674272
XGBoost (independent horizons),0.7121178329417489,0.708461748572049,0.7117150632817939,0.6864735522768542,0.6522501455248995,0.14781164689719256,0.18305084745762712,0.8999999999999999,0.0004268959164619446,1.6874495752455982,1573299,674272
Cox PH,0.6987211527332783,0.6878928792021515,0.6837868846968538,0.6837801965551328,0.6438096282831907,0.14343151280164185,0.0,0.0,0.0,0.0,300000,674272
Unconstrained NN,0.6878560457631291,0.6785910530583071,0.6387682694943102,0.6597701292843903,0.6361976358747121,0.18185032848377816,72.81016949152543,100.0,0.02018868923187256,97.51524607280147,300000,674272
Soft-penalty NN,0.7030245035523413,0.6904719412888427,0.6850465231079313,0.688120637102279,0.6491417542664436,0.1396594457568167,0.0,0.0,0.0,0.0017796972141806275,300000,674272
Monotone-architecture NN,0.7037917861801373,0.6919960192064568,0.6871162050109232,0.6882705406465903,0.6481595229328069,0.1428820539375956,0.0,0.0,0.0,0.0,300000,674272
