bin,n,predicted_pd,observed_pd
0,67428,0.010905507896959175,0.009961759364185196
1,67427,0.017129732092208208,0.018186164826820117
2,67427,0.0256856892601662,0.026360186870451163
3,67427,0.034330506167345926,0.035374462274268215
4,67427,0.0436965241137121,0.041615117359249054
5,67427,0.05473444234769353,0.05227403569781319
6,67427,0.0670460476838415,0.06166077319400043
7,67427,0.08279358352721022,0.07725255940252929
8,67427,0.10645291984559263,0.09867820069695177
9,67428,0.16696637806995082,0.15193228905786393
