month,brier
1.0,0.03709561021337681
2.0,0.038143622660379635
3.0,0.04046781826383359
4.0,0.04307479785309457
5.0,0.04553288208026933
6.0,0.04895077514606613
7.0,0.05258427788830544
8.0,0.056662915211169104
9.0,0.06064386150237089
10.0,0.06485862297687152
11.0,0.06903523452365176
12.0,0.07377412740634678
13.0,0.07820406021684125
14.0,0.08254248791839441
15.0,0.08693350787097824
16.0,0.09135660213306866
17.0,0.09622993340144417
18.0,0.10094474995846699
19.0,0.10573212473680839
20.0,0.11036893691007456
21.0,0.11523031371667719
22.0,0.11920753483579609
23.0,0.123728981934438
24.0,0.12845294940492785
25.0,0.1336650919464475
26.0,0.1386827559961232
27.0,0.14389255942712226
28.0,0.14930103568792655
29.0,0.15572714427239553
30.0,0.1617103307083944
31.0,0.16837975378748965
32.0,0.17531148129324425
33.0,0.1812255542587024
34.0,0.18826444214818147
35.0,0.19430181734003726
36.0,0.20083095609269355
37.0,0.21599696212622793
38.0,0.22678477877730108
39.0,0.2336147738033759
40.0,0.24002288281012488
41.0,0.24516125153765325
42.0,0.25167320296921697
43.0,0.257946815756766
44.0,0.26430058377264193
45.0,0.2706262134355837
46.0,0.2764831346758697
47.0,0.28347468960660893
48.0,0.2896242217055805
49.0,0.29642358680535824
50.0,0.3021545000213936
51.0,0.3092309217335647
52.0,0.3182831867345189
53.0,0.3265954407867233
54.0,0.33551927964493616
55.0,0.34075899868757614
56.0,0.3463632965912165
57.0,0.353315557152454
58.0,0.35625795956916284
59.0,0.362521031565619
60.0,0.3670685273154336
