month,brier
1.0,0.0007091473594875914
2.0,0.0020252083147873556
3.0,0.004960183907800059
4.0,0.008442412204792218
5.0,0.012309079256714046
6.0,0.017245112056439638
7.0,0.022514111981128727
8.0,0.028369988668432215
9.0,0.03413890015167069
10.0,0.04020007782869349
11.0,0.04625060708766044
12.0,0.052999762529378186
13.0,0.059505740861821727
14.0,0.06604185768817132
15.0,0.07192648622950697
16.0,0.07794959173956684
17.0,0.08431187782139825
18.0,0.09035775826707612
19.0,0.09642846131130811
20.0,0.10193133023427216
21.0,0.10767537490304242
22.0,0.11236808448214379
23.0,0.11759404137547132
24.0,0.12275655348996518
25.0,0.1282596733182768
26.0,0.1334014155253809
27.0,0.13808179853630584
28.0,0.14254413096609994
29.0,0.14753084103043457
30.0,0.15178554807120442
31.0,0.15621311130928772
32.0,0.16070242477137467
33.0,0.1641636668219173
34.0,0.16851654197192617
35.0,0.17203995235836414
36.0,0.1758448311175429
37.0,0.18774407870675722
38.0,0.19591043341553147
39.0,0.20086718033584736
40.0,0.2056892713898655
41.0,0.20943394293069406
42.0,0.21354014655712153
43.0,0.21749458193924948
44.0,0.2211396715034849
45.0,0.22495185553568986
46.0,0.2280967905676094
47.0,0.23169168631010986
48.0,0.23551387613727623
49.0,0.23832880547461485
50.0,0.24113418009746854
51.0,0.24462291007934214
52.0,0.24947750092692364
53.0,0.25459043698262085
54.0,0.259515691232535
55.0,0.26150060342202897
56.0,0.26334860083924116
57.0,0.2671689935830427
58.0,0.2688507929983414
59.0,0.2723814967332367
60.0,0.2742400054132941
