bin,n,predicted_pd,observed_pd
0,67428,0.01504768539898706,0.011698061057554443
1,67427,0.01990972180712627,0.017666496480195693
2,67427,0.024402305553760918,0.02705697242759275
3,67427,0.029438894811701727,0.03489703891273088
4,67427,0.03443280628015503,0.04165735577048779
5,67427,0.04023928318742144,0.05204212185068946
6,67427,0.04847610655388253,0.06374759689145637
7,67427,0.05847651364904266,0.07478780959533482
8,67427,0.07814117413777576,0.09856453673978627
9,67428,0.13724052040654647,0.1486805013474113
