bin,n,predicted_pd,observed_pd
0,67428,0.008833702979170145,0.07036144696291546
1,67428,0.014697419667665437,0.11701632998712408
2,67426,0.0200161686979794,0.15501685931899223
3,67428,0.025150826247362024,0.19777345454445594
4,67426,0.029764461240818503,0.23035904424301323
5,67428,0.03512263842297879,0.2549598095602237
6,67427,0.043957622222697286,0.2808510450675027
7,67426,0.07244945913654897,0.25207526378006806
8,67427,0.13112263978858021,0.24076855831196609
9,67428,0.226544835255502,0.3461148444094714
