bin,n,predicted_pd,observed_pd
0,67428,0.030479321415726877,0.034521580308273125
1,67428,0.05165132969050332,0.060795921452847734
2,67426,0.07233490542802122,0.08616053649044852
3,67427,0.09265025539428744,0.1098665951495813
4,67427,0.1112264742724246,0.13226965953235859
5,67427,0.13040989423184637,0.14956464362023025
6,67429,0.15412256550400996,0.16965694593765657
7,67425,0.18226971919420784,0.18147232468982244
8,67427,0.2238577364291138,0.20934017047419917
9,67428,0.36661821158870567,0.26928701378770115
