epoch,train_total,val_total,val_monitor,steps,seconds,train_data,val_data
1,0.7576974268206844,0.7318872750918071,0.7318872750918071,66,14.095142364501953,0.7576974268206844,0.7318872750918071
2,0.7502930699383771,0.7295342209180196,0.7295342209180196,132,27.664375066757202,0.7502930699383771,0.7295342209180196
3,0.7488766969327574,0.7288949169158936,0.7288949169158936,198,40.76305174827576,0.7488766969327574,0.7288949169158936
4,0.7483556616253323,0.7282956106821696,0.7282956106821696,264,54.22674894332886,0.7483556616253323,0.7282956106821696
5,0.7480611050605774,0.7282183337529501,0.7282183337529501,330,68.00283741950989,0.7480611050605774,0.7282183337529501
6,0.7475886091585513,0.7278148429552714,0.7278148429552714,396,82.73785734176636,0.7475886091585513,0.7278148429552714
7,0.7471645697558368,0.7272425533294677,0.7272425533294677,462,95.9306161403656,0.7471645697558368,0.7272425533294677
8,0.7468088858745716,0.7268090909957886,0.7268090909957886,528,109.07726979255676,0.7468088858745716,0.7268090909957886
9,0.7464331028055262,0.7263835173606873,0.7263835173606873,594,122.78360486030579,0.7464331028055262,0.7263835173606873
10,0.7459997573817218,0.7257644496281942,0.7257644496281942,660,136.79342794418335,0.7459997573817218,0.7257644496281942
11,0.7453218301101967,0.7254005711873373,0.7254005711873373,726,150.08503031730652,0.7453218301101967,0.7254005711873373
12,0.7443286791942738,0.7238660054206848,0.7238660054206848,792,163.11929273605347,0.7443286791942738,0.7238660054206848
13,0.7431688820415073,0.7228525246302286,0.7228525246302286,858,175.91307663917542,0.7431688820415073,0.7228525246302286
14,0.7421184446899979,0.7220087397575379,0.7220087397575379,924,188.8010561466217,0.7421184446899979,0.7220087397575379
15,0.7413147469520569,0.7219896438916524,0.7219896438916524,990,202.1279423236847,0.7413147469520569,0.7219896438916524
16,0.7408295024589256,0.7214095234235127,0.7214095234235127,1056,215.16202759742737,0.7408295024589256,0.7214095234235127
17,0.7404914800961813,0.7208971666971843,0.7208971666971843,1122,228.340749502182,0.7404914800961813,0.7208971666971843
18,0.7403894854227702,0.7208660238901774,0.7208660238901774,1188,241.1999216079712,0.7403894854227702,0.7208660238901774
19,0.7400672792222764,0.7210003650665283,0.7210003650665283,1254,254.2836127281189,0.7400672792222764,0.7210003650665283
20,0.7399142818592213,0.7208381134033203,0.7208381134033203,1320,267.8800995349884,0.7399142818592213,0.7208381134033203
21,0.7397867071116412,0.7206225005149841,0.7206225005149841,1386,281.1060264110565,0.7397867071116412,0.7206225005149841
22,0.7396270382351345,0.7205620155334472,0.7205620155334472,1452,294.13262391090393,0.7396270382351345,0.7205620155334472
23,0.7395915874834413,0.7205757243156433,0.7205757243156433,1518,306.9984631538391,0.7395915874834413,0.7205757243156433
24,0.7394602372805278,0.720719874604543,0.720719874604543,1584,320.8098142147064,0.7394602372805278,0.720719874604543
25,0.7393948359701369,0.7207813201904297,0.7207813201904297,1650,334.572144985199,0.7393948359701369,0.7207813201904297
26,0.7393823051664564,0.7203208950042724,0.7203208950042724,1716,347.3617033958435,0.7393823051664564,0.7203208950042724
27,0.7392998891194661,0.7202363549868266,0.7202363549868266,1782,360.28338718414307,0.7392998891194661,0.7202363549868266
28,0.7392657159134194,0.7207380137443542,0.7207380137443542,1848,373.8325824737549,0.7392657159134194,0.7207380137443542
29,0.7392385966583535,0.720501906267802,0.720501906267802,1914,386.9052097797394,0.7392385966583535,0.720501906267802
30,0.7390690186041373,0.7201944148063659,0.7201944148063659,1980,399.85830211639404,0.7390690186041373,0.7201944148063659
31,0.739012369802263,0.7200944449742636,0.7200944449742636,2046,412.8540549278259,0.739012369802263,0.7200944449742636
32,0.7390743747852466,0.7201809400876363,0.7201809400876363,2112,425.89805722236633,0.7390743747852466,0.7201809400876363
33,0.7390528982091833,0.7204439882914225,0.7204439882914225,2178,438.9881992340088,0.7390528982091833,0.7204439882914225
34,0.7389777181660687,0.7202146880467732,0.7202146880467732,2244,452.6592125892639,0.7389777181660687,0.7202146880467732
35,0.7389802456290634,0.7202883267084758,0.7202883267084758,2310,465.6232340335846,0.7389802456290634,0.7202883267084758
