bin,n,predicted_pd,observed_pd
0,67428,0.043106903463791355,0.0710703458997024
1,67427,0.056422941422722625,0.09399886816052494
2,67427,0.06920757375037792,0.14027939903070963
3,67427,0.08129003860032992,0.15731537425709796
4,67427,0.0950715305548702,0.1869823004808523
5,67427,0.11083199323358174,0.2232471579140214
6,67427,0.12986941414466713,0.2493487296491841
7,67427,0.1515262451298718,0.2776177803636134
8,67427,0.19170603640323539,0.3328412154370405
9,67428,0.2989231193177299,0.41404184669008237
