epoch,train_total,val_total,val_monitor,steps,seconds,train_data,val_data
1,0.4973673971105505,0.37622494497299197,0.37622494497299197,33,5.4916911125183105,0.4973673971105505,0.37622494497299197
2,0.36629786644864964,0.3517233484109243,0.3517233484109243,66,10.848777055740356,0.36629786644864964,0.3517233484109243
3,0.3579105556770607,0.3495600317637126,0.3495600317637126,99,15.907738447189331,0.3579105556770607,0.3495600317637126
4,0.3561947681815536,0.34827314904530843,0.34827314904530843,132,20.743258714675903,0.3561947681815536,0.34827314904530843
5,0.35487926031218636,0.34714026618003846,0.34714026618003846,165,25.388593196868896,0.35487926031218636,0.34714026618003846
6,0.3535437120437622,0.34595071822802226,0.34595071822802226,198,30.90736699104309,0.3535437120437622,0.34595071822802226
7,0.35218025095727706,0.3447407822926839,0.3447407822926839,231,39.24557423591614,0.35218025095727706,0.3447407822926839
8,0.3507835532718235,0.3435039451758067,0.3435039451758067,264,44.470815896987915,0.3507835532718235,0.3435039451758067
9,0.34935353432937905,0.34249607531229653,0.34249607531229653,297,49.80842900276184,0.34935353432937905,0.34249607531229653
10,0.34797262262415,0.34127182884216306,0.34127182884216306,330,56.13918423652649,0.34797262262415,0.34127182884216306
11,0.3467479773097568,0.34065737822850545,0.34065737822850545,363,60.752721309661865,0.3467479773097568,0.34065737822850545
12,0.3459239737846233,0.33996614934603375,0.33996614934603375,396,66.11038899421692,0.3459239737846233,0.33996614934603375
13,0.3453007405139782,0.3395733698050181,0.3395733698050181,429,70.83474278450012,0.3453007405139782,0.3395733698050181
14,0.3448128478633033,0.3392883451938629,0.3392883451938629,462,75.59222984313965,0.3448128478633033,0.3392883451938629
15,0.34437155169734246,0.33889659843444825,0.33889659843444825,495,81.25249457359314,0.34437155169734246,0.33889659843444825
16,0.3439837022074947,0.3386860160668691,0.3386860160668691,528,86.46150660514832,0.3439837022074947,0.3386860160668691
17,0.3437464619565893,0.33834898970921834,0.33834898970921834,561,91.25723671913147,0.3437464619565893,0.33834898970921834
18,0.34352481849811695,0.3382680241584778,0.3382680241584778,594,96.69941115379333,0.34352481849811695,0.3382680241584778
19,0.3432151479844694,0.33825479133923847,0.33825479133923847,627,102.36606478691101,0.3432151479844694,0.33825479133923847
20,0.34294695851008095,0.3378133523464203,0.3378133523464203,660,106.98897576332092,0.34294695851008095,0.3378133523464203
21,0.3426410249763065,0.33753656781514485,0.33753656781514485,693,111.92449855804443,0.3426410249763065,0.33753656781514485
22,0.34231156530733464,0.33721563261349996,0.33721563261349996,726,117.14881348609924,0.34231156530733464,0.33721563261349996
23,0.3419653866008476,0.3370020877361298,0.3370020877361298,759,122.96521711349487,0.3419653866008476,0.3370020877361298
24,0.34159954402358444,0.3368132206916809,0.3368132206916809,792,129.8310694694519,0.34159954402358444,0.3368132206916809
25,0.3413060913297865,0.3362012843132019,0.3362012843132019,825,137.56621289253235,0.3413060913297865,0.3362012843132019
26,0.3409165869836454,0.33587769281069435,0.33587769281069435,858,145.31450366973877,0.3409165869836454,0.33587769281069435
27,0.34054947388083845,0.3354868223031362,0.3354868223031362,891,153.0769054889679,0.34054947388083845,0.3354868223031362
28,0.3401521057941295,0.33527154954274496,0.33527154954274496,924,166.72113060951233,0.3401521057941295,0.33527154954274496
29,0.339783330601233,0.3347625961780548,0.3347625961780548,957,178.3877148628235,0.339783330601233,0.3347625961780548
30,0.339366026463332,0.3345215999921163,0.3345215999921163,990,187.24367141723633,0.339366026463332,0.3345215999921163
31,0.33908180879310323,0.33407507758140564,0.33407507758140564,1023,196.52576637268066,0.33908180879310323,0.33407507758140564
32,0.3388257962862651,0.3338280247370402,0.3338280247370402,1056,208.52153611183167,0.3388257962862651,0.3338280247370402
33,0.3385730481924834,0.3334679682095846,0.3334679682095846,1089,217.46511483192444,0.3385730481924834,0.3334679682095846
34,0.3382430085482421,0.333404178015391,0.333404178015391,1122,224.1798815727234,0.3382430085482421,0.333404178015391
35,0.33803947162981385,0.3331326033910116,0.3331326033910116,1155,230.09321451187134,0.33803947162981385,0.3331326033910116
36,0.3378897834459941,0.33291362573305766,0.33291362573305766,1188,236.2620861530304,0.3378897834459941,0.33291362573305766
37,0.33767312643439684,0.3327691850821177,0.3327691850821177,1221,242.29110670089722,0.33767312643439684,0.3327691850821177
38,0.3375868987048114,0.332678578488032,0.332678578488032,1254,248.23985171318054,0.3375868987048114,0.332678578488032
39,0.3374083733028836,0.3323610030968984,0.3323610030968984,1287,253.28987407684326,0.3374083733028836,0.3323610030968984
40,0.3371892132882719,0.3322933283170064,0.3322933283170064,1320,258.32842659950256,0.3371892132882719,0.3322933283170064
