month,brier
1.0,0.0007032882347062023
2.0,0.0019792462021564765
3.0,0.004891553596074378
4.0,0.008361966629323649
5.0,0.012230853481965016
6.0,0.01718372219426179
7.0,0.02246856338735338
8.0,0.028340407804776313
9.0,0.034112726186434045
10.0,0.0401710536434068
11.0,0.04619529095982245
12.0,0.05286107296047298
13.0,0.059272462930398624
14.0,0.06565329689058776
15.0,0.07137230230352799
16.0,0.07722033741894441
17.0,0.08334512999162283
18.0,0.08907058533764838
19.0,0.09479944180700244
20.0,0.10004375798820167
21.0,0.10550401126094615
22.0,0.10994312470436506
23.0,0.11489366979596428
24.0,0.11979830259850247
25.0,0.12470744739363494
26.0,0.12923692082940597
27.0,0.13341358699248973
28.0,0.13718563982864362
29.0,0.1413709903596005
30.0,0.1449909195524894
31.0,0.14871274650778
32.0,0.15244183929361932
33.0,0.15532884735511798
34.0,0.15908257222230932
35.0,0.16216085096489907
36.0,0.16548277908027728
37.0,0.17872218304192056
38.0,0.1866780428839878
39.0,0.19049445719807398
40.0,0.1946030845314157
41.0,0.19785698415657996
42.0,0.20117672418526272
43.0,0.20450863126700822
44.0,0.20698283224447667
45.0,0.21069875280048891
46.0,0.21330538219056303
47.0,0.2158292534358906
48.0,0.22018739794174158
49.0,0.22187915687569607
50.0,0.2238199704958263
51.0,0.22678461750457551
52.0,0.22999638538332193
53.0,0.234671330454262
54.0,0.2388296684768058
55.0,0.23936607878211652
56.0,0.23778101253924558
57.0,0.24021134926619922
58.0,0.24272607107857083
59.0,0.2448742634963185
60.0,0.24748800970091595
