bin,n,predicted_pd,observed_pd
0,67428,0.024518884047923326,0.049429856131164907
1,67427,0.045513295011019556,0.09356483661783355
2,67427,0.0648026312723711,0.12062427097970074
3,67427,0.08052946304241405,0.1517527740072735
4,67427,0.09825174154386591,0.1841505901679248
5,67427,0.1190818272460203,0.2103908107566066
6,67427,0.14085411644718118,0.24109867962832254
7,67427,0.16545463262576765,0.2762139970076538
8,67427,0.19992723697030296,0.3205228737361939
9,67428,0.2899754032277832,0.4160210253652612
