horizon,logistic_full,logistic_300k,logistic_delta,xgboost_full,xgboost_300k,xgboost_delta
12,0.701238387209364,0.7010130791661432,-0.00022530804322085096,0.7121178269591708,0.7107809466576988,-0.0013368803014720543
24,0.6910986641833848,0.6908920867962196,-0.0002065773871652299,0.7084617480278672,0.70819136274764,-0.0002703852802271589
36,0.6875884363440319,0.6874768904081504,-0.0001115459358814741,0.7117150660568806,0.7113703424675379,-0.000344723589342677
